Feature_ID,Area_mm2,Centroid
186,2.2738,"(1786, 675)"
187,13.4463,"(1177, 877)"
188,4.1775,"(2091, 711)"
189,2.6138,"(2204, 675)"
190,2.8238,"(251, 746)"
191,12.07,"(829, 745)"
192,5.0688,"(352, 733)"
193,2.4688,"(950, 703)"
194,9.3063,"(999, 715)"
195,4.73,"(801, 621)"
196,5.2825,"(573, 632)"
197,10.2275,"(625, 718)"
198,7.315,"(1356, 636)"
199,9.3163,"(1962, 654)"
200,3.255,"(419, 627)"
201,7.36,"(2174, 606)"
202,9.465,"(974, 586)"
203,8.7538,"(1655, 555)"
204,7.6063,"(1551, 544)"
205,2.4888,"(1044, 560)"
206,2.5213,"(1995, 554)"
207,14.9488,"(786, 539)"
208,2.715,"(1972, 507)"
209,19.1163,"(217, 849)"
210,2.975,"(1608, 456)"
211,3.2263,"(768, 459)"
212,6.1075,"(1336, 463)"
213,5.1725,"(1907, 451)"
214,4.5125,"(2195, 467)"
215,3.26,"(176, 473)"
216,3.5313,"(760, 411)"
217,30.2175,"(2074, 439)"
218,8.86,"(608, 467)"
219,15.9813,"(1555, 383)"
220,2.0475,"(220, 389)"
221,13.055,"(1014, 408)"
222,9.53,"(1555, 364)"
223,5.0113,"(472, 402)"
224,2.4375,"(2241, 404)"
225,8.1375,"(859, 401)"
226,2.98,"(638, 389)"
227,4.7263,"(1948, 357)"
228,4.475,"(298, 409)"
229,2.5738,"(713, 337)"
230,2.195,"(587, 327)"
231,3.4988,"(113, 548)"
232,5.6588,"(898, 297)"
233,3.9125,"(2203, 339)"
234,2.5863,"(652, 298)"
235,15.3875,"(370, 373)"
236,8.2125,"(1764, 264)"
237,3.8188,"(1329, 270)"
238,2.7738,"(170, 286)"
239,2.2288,"(1300, 235)"
240,3.7525,"(207, 296)"
241,8.5888,"(2039, 212)"
242,3.7713,"(1245, 217)"
243,20.3813,"(1609, 214)"
244,12.4788,"(1806, 210)"
245,8.5788,"(1910, 206)"
246,5.16,"(1023, 231)"
247,3.0363,"(338, 194)"
248,4.81,"(1805, 150)"
249,3.0538,"(525, 184)"
250,4.5213,"(1958, 218)"
251,3.105,"(1299, 149)"
252,2.1913,"(904, 130)"
253,17.1713,"(2117, 216)"
254,11.7913,"(424, 133)"
255,2.6188,"(1181, 131)"
256,3.23,"(1875, 108)"
257,15.3038,"(262, 171)"
258,2.41,"(900, 86)"
259,2.5375,"(2039, 100)"
260,18.4063,"(1591, 166)"
261,4.1188,"(814, 89)"
262,6.655,"(1984, 56)"
263,4.8563,"(1000, 123)"
264,31.8925,"(643, 141)"
265,2.9588,"(1448, 49)"
266,30.0975,"(209, 106)"
267,2.4913,"(2214, 26)"
268,4.1125,"(1698, 43)"
269,10.4413,"(1326, 66)"
